inventor,inventorLabel,dateOfBirth,dateOfDeath,countryLabel,inventionLabel
http://www.wikidata.org/entity/Q297000,Hendrik Frensch Verwoerd,1901-09-08T00:00:00Z,1966-09-06T00:00:00Z,South Africa,apartheid
http://www.wikidata.org/entity/Q216723,Ronald Fisher,1890-02-17T00:00:00Z,1962-07-29T00:00:00Z,United Kingdom,population genetics
http://www.wikidata.org/entity/Q312741,Juan Díaz de Solís,1470-01-01T00:00:00Z,1516-01-20T00:00:00Z,Spain,Río de la Plata
http://www.wikidata.org/entity/Q312741,Juan Díaz de Solís,1470-01-01T00:00:00Z,1516-01-20T00:00:00Z,Crown of Castile,Río de la Plata
http://www.wikidata.org/entity/Q61061951,Q61061951,1547-01-01T00:00:00Z,1589-01-01T00:00:00Z,Mughal Empire,hookah
http://www.wikidata.org/entity/Q61061951,Q61061951,1547-01-01T00:00:00Z,1589-01-01T00:00:00Z,Kia'i dynasty,hookah
http://www.wikidata.org/entity/Q106395,Stefan Mross,1975-11-26T00:00:00Z,,Germany,Karl Moik
http://www.wikidata.org/entity/Q65851285,Jacobus Hubertus van Boom,1937-05-14T00:00:00Z,2004-07-31T00:00:00Z,Kingdom of the Netherlands,Z-DNA
http://www.wikidata.org/entity/Q124098370,Atsushi Tero,,,Japan,Physarum polycephalum
http://www.wikidata.org/entity/Q2738864,Brad Cox,1944-05-02T00:00:00Z,2021-01-02T00:00:00Z,United States,Objective-C
http://www.wikidata.org/entity/Q2938957,Carl Malamud,1959-07-02T00:00:00Z,,United States,internet radio
http://www.wikidata.org/entity/Q12308757,Djalma Julliot,1858-04-20T00:00:00Z,1922-08-02T00:00:00Z,France,western concert flute
http://www.wikidata.org/entity/Q19360991,Marius Boel,1882-01-05T00:00:00Z,1979-11-09T00:00:00Z,Kingdom of Denmark,inventor
http://www.wikidata.org/entity/Q20984389,Stewart Adams,1923-04-16T00:00:00Z,2019-01-30T00:00:00Z,United Kingdom,ibuprofen
http://www.wikidata.org/entity/Q27468702,Valerie Hunter Gordon,1921-12-07T00:00:00Z,2016-10-16T00:00:00Z,United Kingdom,inventor
http://www.wikidata.org/entity/Q27468702,Valerie Hunter Gordon,1921-12-07T00:00:00Z,2016-10-16T00:00:00Z,United Kingdom of Great Britain and Ireland,inventor
http://www.wikidata.org/entity/Q106832612,Nima Hassan Rezaeian,,,,magnetic resonance imaging
http://www.wikidata.org/entity/Q124211951,Hermann Bach,1875-03-22T00:00:00Z,1944-01-07T00:00:00Z,Germany,sewage treatment
http://www.wikidata.org/entity/Q124211951,Hermann Bach,1875-03-22T00:00:00Z,1944-01-07T00:00:00Z,Austria-Hungary,sewage treatment
http://www.wikidata.org/entity/Q36359,Hammurabi,-1809-01-01T00:00:00Z,-1749-01-01T00:00:00Z,Babylonia,Austen Henry Layard
http://www.wikidata.org/entity/Q116031982,Allen Erwin Gant,1898-07-07T00:00:00Z,1972-07-25T00:00:00Z,United States,pantyhose
http://www.wikidata.org/entity/Q116032018,Ethel Boone Gant,1914-10-06T00:00:00Z,1994-08-29T00:00:00Z,United States,pantyhose
http://www.wikidata.org/entity/Q1871107,Lothrop Stoddard,1883-06-29T00:00:00Z,1950-05-01T00:00:00Z,United States,Untermensch
http://www.wikidata.org/entity/Q126736707,George E. Williams,,,Australia,Acraman crater
http://www.wikidata.org/entity/Q107974,Heinrich Braun,1862-01-01T00:00:00Z,1934-04-26T00:00:00Z,Germany,procaine
http://www.wikidata.org/entity/Q1477320,Alexander Falk,1967-08-13T00:00:00Z,,Austria,XMLSpy
http://www.wikidata.org/entity/Q16012284,J. B. Malone,1913-12-13T00:00:00Z,1989-10-17T00:00:00Z,Ireland,Wicklow Way
http://www.wikidata.org/entity/Q86580439,Johanna M Rommens,1958-01-01T00:00:00Z,,Canada,cystic fibrosis transmembrane conductance regulator
http://www.wikidata.org/entity/Q118313753,Georgi Ivanov Terziev,1935-03-06T00:00:00Z,1972-09-29T00:00:00Z,Bulgaria,hemusite
http://www.wikidata.org/entity/Q16179784,Eduardo Boscá Casanoves,1843-02-12T00:00:00Z,1924-05-28T00:00:00Z,Spain,Ibiza Wall Lizard
http://www.wikidata.org/entity/Q55680250,Alphons Adolph,1853-09-08T00:00:00Z,1934-03-22T00:00:00Z,,view card
http://www.wikidata.org/entity/Q3335472,Camila Quiroga,1891-03-19T00:00:00Z,1948-02-28T00:00:00Z,Argentina,Armando Discépolo
http://www.wikidata.org/entity/Q108179667,Takashi Teranishi,,,,Tera Term
http://www.wikidata.org/entity/Q6762967,Marie Neurath,1898-05-27T00:00:00Z,1986-10-10T00:00:00Z,Germany,International System of Typographic Picture Education
http://www.wikidata.org/entity/Q18022232,Klaus Volkamer,1939-01-01T00:00:00Z,2022-03-16T00:00:00Z,Germany,patent inventor
http://www.wikidata.org/entity/Q313062,Joseph Babinski,1857-11-17T00:00:00Z,1932-10-29T00:00:00Z,Poland,Babinski–Nageotte syndrome
http://www.wikidata.org/entity/Q313062,Joseph Babinski,1857-11-17T00:00:00Z,1932-10-29T00:00:00Z,France,Babinski–Nageotte syndrome
http://www.wikidata.org/entity/Q767459,William Clayton,1814-07-17T00:00:00Z,1879-12-04T00:00:00Z,United States,odometer
http://www.wikidata.org/entity/Q19683920,Henri Bergius,,,,Node.js
http://www.wikidata.org/entity/Q43554445,Åke Hörnell,1948-08-14T00:00:00Z,,Sweden,welding helmet
http://www.wikidata.org/entity/Q274925,Émile Bertrand,1844-01-01T00:00:00Z,1909-11-16T00:00:00Z,France,refractometer
http://www.wikidata.org/entity/Q445739,Jack Cover,1920-04-06T00:00:00Z,2009-02-07T00:00:00Z,United States,electroshock weapon
http://www.wikidata.org/entity/Q971382,Aldo Leopold,1887-01-11T00:00:00Z,1948-04-21T00:00:00Z,United States,environmental ethics
http://www.wikidata.org/entity/Q1336202,Emil Heitz,1892-10-29T00:00:00Z,1965-07-08T00:00:00Z,Switzerland,heterochromatin
http://www.wikidata.org/entity/Q1336202,Emil Heitz,1892-10-29T00:00:00Z,1965-07-08T00:00:00Z,Germany,heterochromatin
http://www.wikidata.org/entity/Q3103269,Georges Nomarski,1919-06-01T00:00:00Z,1997-02-17T00:00:00Z,Poland,differential interference contrast microscopy
http://www.wikidata.org/entity/Q3103269,Georges Nomarski,1919-06-01T00:00:00Z,1997-02-17T00:00:00Z,France,differential interference contrast microscopy
http://www.wikidata.org/entity/Q5235918,David Kemp,1945-02-24T00:00:00Z,,United Kingdom,otoacoustic emission
http://www.wikidata.org/entity/Q5752417,Hideki Sakurai,1931-05-16T00:00:00Z,2024-07-17T00:00:00Z,Japan,Sakurai reaction
http://www.wikidata.org/entity/Q16179784,Eduardo Boscá Casanoves,1843-02-12T00:00:00Z,1924-05-28T00:00:00Z,Spain,Iberian midwife toad
http://www.wikidata.org/entity/Q123013372,Yordanka Hristova Mincheva -Stefanova,1923-08-29T00:00:00Z,2007-04-28T00:00:00Z,Bulgaria,strashimirite
http://www.wikidata.org/entity/Q1699712,John Curwen,1816-11-14T00:00:00Z,1880-05-26T00:00:00Z,United Kingdom of Great Britain and Ireland,tonic sol-fa
http://www.wikidata.org/entity/Q10976337,Abu al-Ila Muhammad,1884-08-08T00:00:00Z,1927-01-05T00:00:00Z,Kingdom of Egypt,Omm Kalthum
http://www.wikidata.org/entity/Q10976337,Abu al-Ila Muhammad,1884-08-08T00:00:00Z,1927-01-05T00:00:00Z,Khedivate of Egypt,Omm Kalthum
http://www.wikidata.org/entity/Q10976337,Abu al-Ila Muhammad,1884-08-08T00:00:00Z,1927-01-05T00:00:00Z,Sultanate of Egypt,Omm Kalthum
http://www.wikidata.org/entity/Q96192183,Kazumi Ono,,,Japan,XOOPS
http://www.wikidata.org/entity/Q3724488,Emilio Polli,1901-04-10T00:00:00Z,1983-01-30T00:00:00Z,Italy,swimming stroke
http://www.wikidata.org/entity/Q3724488,Emilio Polli,1901-04-10T00:00:00Z,1983-01-30T00:00:00Z,Kingdom of Italy,swimming stroke
http://www.wikidata.org/entity/Q497083,Choe Museon,1325-01-01T00:00:00Z,1395-01-01T00:00:00Z,Goryeo,Hwacha
http://www.wikidata.org/entity/Q2669362,Eugène Albert,1816-04-26T00:00:00Z,1890-05-11T00:00:00Z,Belgium,Albert system
http://www.wikidata.org/entity/Q16179784,Eduardo Boscá Casanoves,1843-02-12T00:00:00Z,1924-05-28T00:00:00Z,Spain,Vipera latastei
http://www.wikidata.org/entity/Q16179784,Eduardo Boscá Casanoves,1843-02-12T00:00:00Z,1924-05-28T00:00:00Z,Spain,Chalcides bedriagai
http://www.wikidata.org/entity/Q102315625,Hubert Ludwieg,1912-10-09T00:00:00Z,2001-02-12T00:00:00Z,Germany,Ludwieg tube
http://www.wikidata.org/entity/Q3431521,Rick Adams,1953-01-01T00:00:00Z,,,Serial Line Internet Protocol
http://www.wikidata.org/entity/Q1946885,Moorleiche Bremervörde FStNr. 98,0600-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/acd9b6bed5b535f42bcd44976e434a6f,Germany,Q1454917
http://www.wikidata.org/entity/Q101482244,Aladar Pecht,1898-06-26T00:00:00Z,1961-05-22T00:00:00Z,Austria,disc parking
http://www.wikidata.org/entity/Q101482244,Aladar Pecht,1898-06-26T00:00:00Z,1961-05-22T00:00:00Z,Cisleithania,disc parking
http://www.wikidata.org/entity/Q109774869,Master of the Munich Arrest of Christ,,,,Wolfgang Schöne
http://www.wikidata.org/entity/Q1376733,Alan Gelfand,1963-01-01T00:00:00Z,,United States,Ollie
http://www.wikidata.org/entity/Q70250957,Yury Karpilovich,1934-04-02T00:00:00Z,2020-08-01T00:00:00Z,Belarus,Minsk family of computers
http://www.wikidata.org/entity/Q106522523,Jean Frédéric Krieger,1817-03-13T00:00:00Z,1862-11-13T00:00:00Z,Belgium,friterie
http://www.wikidata.org/entity/Q106522523,Jean Frédéric Krieger,1817-03-13T00:00:00Z,1862-11-13T00:00:00Z,Kingdom of Bavaria,friterie
http://www.wikidata.org/entity/Q7965320,Walter Koch,1880-05-03T00:00:00Z,1962-11-21T00:00:00Z,,Koch's triangle
http://www.wikidata.org/entity/Q34981,Isaac Asimov,1920-01-02T00:00:00Z,1992-04-06T00:00:00Z,United States,positronic brain
http://www.wikidata.org/entity/Q34981,Isaac Asimov,1920-01-02T00:00:00Z,1992-04-06T00:00:00Z,Russian Soviet Federative Socialist Republic,positronic brain
http://www.wikidata.org/entity/Q34981,Isaac Asimov,1920-01-02T00:00:00Z,1992-04-06T00:00:00Z,Russian Socialist Federative Soviet Republic,positronic brain
http://www.wikidata.org/entity/Q216723,Ronald Fisher,1890-02-17T00:00:00Z,1962-07-29T00:00:00Z,United Kingdom,Fisher's principle
http://www.wikidata.org/entity/Q3523686,Theodore Willard Case,1888-12-12T00:00:00Z,1944-05-13T00:00:00Z,United States,Movietone sound system
http://www.wikidata.org/entity/Q3629710,Augusto Turati,1888-04-16T00:00:00Z,1955-08-27T00:00:00Z,Italy,Volata
http://www.wikidata.org/entity/Q3629710,Augusto Turati,1888-04-16T00:00:00Z,1955-08-27T00:00:00Z,Kingdom of Italy,Volata
http://www.wikidata.org/entity/Q34981,Isaac Asimov,1920-01-02T00:00:00Z,1992-04-06T00:00:00Z,United States,positronic robot
http://www.wikidata.org/entity/Q34981,Isaac Asimov,1920-01-02T00:00:00Z,1992-04-06T00:00:00Z,Russian Soviet Federative Socialist Republic,positronic robot
http://www.wikidata.org/entity/Q34981,Isaac Asimov,1920-01-02T00:00:00Z,1992-04-06T00:00:00Z,Russian Socialist Federative Soviet Republic,positronic robot
http://www.wikidata.org/entity/Q70250957,Yury Karpilovich,1934-04-02T00:00:00Z,2020-08-01T00:00:00Z,Belarus,ES EVM
http://www.wikidata.org/entity/Q274925,Émile Bertrand,1844-01-01T00:00:00Z,1909-11-16T00:00:00Z,France,phase telescope
http://www.wikidata.org/entity/Q16842701,Rebecca Enonchong,1967-07-11T00:00:00Z,,Cameroon,electronic payment
http://www.wikidata.org/entity/Q83154557,Michel Hardy,1840-09-23T00:00:00Z,1893-05-06T00:00:00Z,France,Chancelade man
http://www.wikidata.org/entity/Q118313753,Georgi Ivanov Terziev,1935-03-06T00:00:00Z,1972-09-29T00:00:00Z,Bulgaria,kostovite
http://www.wikidata.org/entity/Q3648825,Barber surgeon of Avebury,http://www.wikidata.org/.well-known/genid/c63743e76ea60a1c6b661f4ae812a19d,http://www.wikidata.org/.well-known/genid/f9fe353f4ecee72fbb83e9f4a5144fbd,,Alexander Keiller
http://www.wikidata.org/entity/Q8020606,William Wulf,1939-12-08T00:00:00Z,2023-03-10T00:00:00Z,United States,collaboratory
http://www.wikidata.org/entity/Q20460023,Perak Man,http://www.wikidata.org/.well-known/genid/44a865273840fab9efe914dad7df800e,http://www.wikidata.org/.well-known/genid/5ab0592f2fbc4fc9b6638538ee648ef5,Australoid race,Siti Zuraina Abdul Majid
http://www.wikidata.org/entity/Q27468702,Valerie Hunter Gordon,1921-12-07T00:00:00Z,2016-10-16T00:00:00Z,United Kingdom,disposable diaper
http://www.wikidata.org/entity/Q27468702,Valerie Hunter Gordon,1921-12-07T00:00:00Z,2016-10-16T00:00:00Z,United Kingdom of Great Britain and Ireland,disposable diaper
http://www.wikidata.org/entity/Q56754798,Giuseppe Janino,1961-01-01T00:00:00Z,,Brazil,DRE voting machine
http://www.wikidata.org/entity/Q6259998,John T. Guthrie,,,,Concept-Oriented Reading Instruction
http://www.wikidata.org/entity/Q16179784,Eduardo Boscá Casanoves,1843-02-12T00:00:00Z,1924-05-28T00:00:00Z,Spain,Podarcis guadarramae
http://www.wikidata.org/entity/Q27922600,Norm Cox,1951-12-03T00:00:00Z,,,hamburger button
http://www.wikidata.org/entity/Q55404410,Rob Halförd,http://www.wikidata.org/.well-known/genid/1485867e96e1eb3c53d86acc7e59f67f,,,Gridcoin
http://www.wikidata.org/entity/Q124211951,Hermann Bach,1875-03-22T00:00:00Z,1944-01-07T00:00:00Z,Germany,wastewater treatment
http://www.wikidata.org/entity/Q124211951,Hermann Bach,1875-03-22T00:00:00Z,1944-01-07T00:00:00Z,Austria-Hungary,wastewater treatment
http://www.wikidata.org/entity/Q23889,Clive Sinclair,1940-07-30T00:00:00Z,2021-09-16T00:00:00Z,United Kingdom,Sinclair Executive
http://www.wikidata.org/entity/Q3313342,Mak Yuree,1964-01-01T00:00:00Z,,Bangladesh,Butthan
http://www.wikidata.org/entity/Q4088422,Trevor Blackwell,1969-11-04T00:00:00Z,,Canada,electric unicycle
http://www.wikidata.org/entity/Q4724745,Ali Dee Theodore,1970-01-01T00:00:00Z,,United States,Paris Theodore
http://www.wikidata.org/entity/Q6745676,Mamikon Mnatsakanian,1942-04-17T00:00:00Z,2021-04-12T00:00:00Z,United States,visual calculus
http://www.wikidata.org/entity/Q6745676,Mamikon Mnatsakanian,1942-04-17T00:00:00Z,2021-04-12T00:00:00Z,Soviet Union,visual calculus
http://www.wikidata.org/entity/Q16179784,Eduardo Boscá Casanoves,1843-02-12T00:00:00Z,1924-05-28T00:00:00Z,Spain,Podarcis atrata
http://www.wikidata.org/entity/Q17009443,Manoug Manougian,1935-01-01T00:00:00Z,2024-05-07T00:00:00Z,United States,Lebanese space program
http://www.wikidata.org/entity/Q17009443,Manoug Manougian,1936-01-01T00:00:00Z,2024-05-07T00:00:00Z,United States,Lebanese space program
http://www.wikidata.org/entity/Q17009443,Manoug Manougian,1935-01-01T00:00:00Z,2024-05-07T00:00:00Z,Lebanon,Lebanese space program
http://www.wikidata.org/entity/Q17009443,Manoug Manougian,1936-01-01T00:00:00Z,2024-05-07T00:00:00Z,Lebanon,Lebanese space program
http://www.wikidata.org/entity/Q21510491,Robert Kral,1926-02-28T00:00:00Z,2024-12-06T00:00:00Z,United States,Xyris tennesseensis
http://www.wikidata.org/entity/Q96195609,Jun Sota,1964-01-01T00:00:00Z,,Japan,FFFTP
http://www.wikidata.org/entity/Q98605888,Shubham Banerjee,2001-10-29T00:00:00Z,,,Braigo
http://www.wikidata.org/entity/Q2030586,Calvin Souther Fuller,1902-05-25T00:00:00Z,1994-10-28T00:00:00Z,United States,Bell Solar Battery
http://www.wikidata.org/entity/Q13641673,Gerald Pearson,1905-03-13T00:00:00Z,1987-10-25T00:00:00Z,United States,Bell Solar Battery
http://www.wikidata.org/entity/Q13641673,Gerald Pearson,1905-03-31T00:00:00Z,1987-10-25T00:00:00Z,United States,Bell Solar Battery
http://www.wikidata.org/entity/Q15804626,Daryl Chapin,1906-07-21T00:00:00Z,1995-01-19T00:00:00Z,United States,Bell Solar Battery
http://www.wikidata.org/entity/Q56085294,Duncan Ross Lorimer,1969-05-09T00:00:00Z,,,Lorimer Burst
http://www.wikidata.org/entity/Q115242035,Richard Faille,,,France,zero euro note
http://www.wikidata.org/entity/Q92416,Semi Joseph Begun,1905-12-02T00:00:00Z,1995-01-05T00:00:00Z,United States,steel tape recorder
http://www.wikidata.org/entity/Q92416,Semi Joseph Begun,1905-12-02T00:00:00Z,1995-01-05T00:00:00Z,Germany,steel tape recorder
http://www.wikidata.org/entity/Q442681,Valdemar Poulsen,1869-11-23T00:00:00Z,1942-07-23T00:00:00Z,Kingdom of Denmark,steel tape recorder
http://www.wikidata.org/entity/Q1145337,Curt Stille,1873-01-01T00:00:00Z,1957-09-07T00:00:00Z,Germany,steel tape recorder
http://www.wikidata.org/entity/Q3313342,Mak Yuree,1964-01-01T00:00:00Z,,Bangladesh,My Baton
http://www.wikidata.org/entity/Q6528921,Leroy Cronin,1973-06-01T00:00:00Z,,United Kingdom,ChemPU
http://www.wikidata.org/entity/Q16026129,Ludwig Blattner,1881-01-01T00:00:00Z,1935-10-30T00:00:00Z,Germany,steel tape recorder
http://www.wikidata.org/entity/Q18965931,Rohidas Singh Nag,1934-02-05T00:00:00Z,2012-12-30T00:00:00Z,India,Mundari Bani
http://www.wikidata.org/entity/Q18965931,Rohidas Singh Nag,1934-02-05T00:00:00Z,2012-12-30T00:00:00Z,British Raj,Mundari Bani
http://www.wikidata.org/entity/Q18965931,Rohidas Singh Nag,1934-02-05T00:00:00Z,2012-12-30T00:00:00Z,Dominion of India,Mundari Bani
http://www.wikidata.org/entity/Q92970069,Orly Alter,1964-04-01T00:00:00Z,,United States,eigengene
http://www.wikidata.org/entity/Q92970069,Orly Alter,1964-04-01T00:00:00Z,,United States,multi-tensor decomposition
http://www.wikidata.org/entity/Q92970069,Orly Alter,1964-04-01T00:00:00Z,,Israel,eigengene
http://www.wikidata.org/entity/Q92970069,Orly Alter,1964-04-01T00:00:00Z,,Israel,multi-tensor decomposition
http://www.wikidata.org/entity/Q94127411,William Firth Wells,1887-01-01T00:00:00Z,1963-01-01T00:00:00Z,United States,Wells curve
http://www.wikidata.org/entity/Q98315348,Justin Picard,,,Canada,Copy detection pattern
http://www.wikidata.org/entity/Q98315348,Justin Picard,,,Switzerland,Copy detection pattern
http://www.wikidata.org/entity/Q104003734,GeoWizard,1990-09-22T00:00:00Z,,United Kingdom,straight line mission
http://www.wikidata.org/entity/Q3291772,Harry Stephen Keeler,1890-11-03T00:00:00Z,1967-01-22T00:00:00Z,United States,webwork plot
http://www.wikidata.org/entity/Q66088049,Phyllis Litherland,,,United States,Dilly Bar
http://www.wikidata.org/entity/Q66827640,Rea Ann Silva,,,,Q66827548
http://www.wikidata.org/entity/Q102690722,Theodore Pruyne,,,,2020 CD3
http://www.wikidata.org/entity/Q120829056,Alfred Strauss,1897-05-29T00:00:00Z,1957-10-27T00:00:00Z,United States,Strauss Syndrom
http://www.wikidata.org/entity/Q120829056,Alfred Strauss,1897-05-29T00:00:00Z,1957-10-27T00:00:00Z,Germany,Strauss Syndrom
